date,resolution_ms,source,target,lag_ms,n_impulses,response_return,response_signed_notional,p_return,p_flow,q_return,q_flow,significant
2024-03-05,50,BTCUSDT,BTCUSDT,10,694,1.922260490657725e-05,10604.053251296851,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,BTCUSDT,25,694,1.922260490657725e-05,10604.053251296851,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,BTCUSDT,50,694,1.922260490657725e-05,10604.053251296851,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,BTCUSDT,100,694,2.932976070068157e-05,17005.1580429395,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,BTCUSDT,250,694,4.02889135839268e-05,21526.4517544669,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,BTCUSDT,500,694,4.712622964466491e-05,23647.484604466874,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,BTCUSDT,1000,694,5.274584802968944e-05,41932.911901008665,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,BTCUSDT,2000,694,5.554658709540925e-05,93788.46848299708,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,BTCUSDT,5000,694,6.356086989554269e-05,156816.52465302614,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,ETHUSDT,10,694,1.1585426505998462e-05,3228.484190922194,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,ETHUSDT,25,694,1.1585426505998462e-05,3228.484190922194,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,ETHUSDT,50,694,1.1585426505998462e-05,3228.484190922194,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,ETHUSDT,100,694,1.6757720131034505e-05,3700.410105043236,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,ETHUSDT,250,694,2.8642194374932048e-05,5352.310791786752,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,ETHUSDT,500,694,3.719568929886722e-05,5839.6065449567795,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,ETHUSDT,1000,694,4.81687990420492e-05,7895.0959155619685,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,ETHUSDT,2000,694,4.853640179044409e-05,2283.8827711815734,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,ETHUSDT,5000,694,6.06255390874761e-05,7634.67576930839,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,SOLUSDT,10,694,1.1759550336264147e-05,1318.4775829971181,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,SOLUSDT,25,694,1.1759550336264147e-05,1318.4775829971181,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,SOLUSDT,50,694,1.1759550336264147e-05,1318.4775829971181,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,SOLUSDT,100,694,1.9551556071799534e-05,1599.6674825648415,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,SOLUSDT,250,694,3.18958433924537e-05,1772.277684293948,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,SOLUSDT,500,694,4.336657016927428e-05,2440.3009700288144,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,SOLUSDT,1000,694,5.5641105888320815e-05,2533.058895677229,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,SOLUSDT,2000,694,5.483695934320909e-05,2746.9306706051866,0.01,0.01,0.01,0.01,True
2024-03-05,50,BTCUSDT,SOLUSDT,5000,694,5.6158532646655766e-05,-4439.614355907792,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,BTCUSDT,10,579,1.323229939391164e-05,8888.885389637257,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,BTCUSDT,25,579,1.323229939391164e-05,8888.885389637257,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,BTCUSDT,50,579,1.323229939391164e-05,8888.885389637257,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,BTCUSDT,100,579,2.0565227239966167e-05,11984.693499136376,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,BTCUSDT,250,579,3.30107502875471e-05,13100.17820656296,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,BTCUSDT,500,579,3.790407777384267e-05,17570.062367530154,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,BTCUSDT,1000,579,4.6906854295538154e-05,36938.356366148386,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,BTCUSDT,2000,579,5.109397126617998e-05,93450.05243609655,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,BTCUSDT,5000,579,3.676403074602644e-05,110081.97448929184,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,ETHUSDT,10,579,1.9515713653809125e-05,4569.709468911918,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,ETHUSDT,25,579,1.9515713653809125e-05,4569.709468911918,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,ETHUSDT,50,579,1.9515713653809125e-05,4569.709468911918,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,ETHUSDT,100,579,2.9124250970185837e-05,4064.09273661486,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,ETHUSDT,250,579,3.8460161015123124e-05,3748.626693955099,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,ETHUSDT,500,579,4.8026190917338644e-05,3890.019756476686,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,ETHUSDT,1000,579,5.8429960238605886e-05,2577.355700863563,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,ETHUSDT,2000,579,6.670647219745562e-05,6199.777830224535,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,ETHUSDT,5000,579,5.8703381510329754e-05,23640.624922107094,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,10,579,1.1376417250268205e-05,1562.0657303972393,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,25,579,1.1376417250268205e-05,1562.0657303972393,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,50,579,1.1376417250268205e-05,1562.0657303972393,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,100,579,1.7998871545913997e-05,1783.9303715025949,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,250,579,3.116356778925396e-05,2065.7381566494,0.01,0.01,0.01,0.01,True
