date,resolution_ms,source,target,lag_ms,n_initial_impulses,n_exclusive_impulses,response_resid_return,response_resid_flow,p_return,p_flow,return_ci95,flow_ci95,q_return,q_flow,p2_return,p2_flow
2024-03-05,50,BTCUSDT,ETHUSDT,50,167,156,1.15653363027692e-05,1832.063803416199,0.005,0.11,"[5.451807330991531e-06, 1.779048641396264e-05]","[-22.758514682992125, 4211.217756437057]",0.028,0.2431578947368421,True,False
2024-03-05,50,BTCUSDT,ETHUSDT,100,167,156,1.7967249003762287e-05,1565.9497439403965,0.005,0.265,"[1.1254870220182524e-05, 2.610209457442317e-05]","[-397.35922278890297, 4040.8607478507065]",0.028,0.3975,True,False
2024-03-05,50,BTCUSDT,ETHUSDT,250,167,156,3.4090706253327306e-05,3867.346943528411,0.005,0.23,"[2.322288592379486e-05, 4.695887317459753e-05]","[-478.8329127573034, 8268.316415589758]",0.028,0.3788235294117647,True,False
2024-03-05,50,BTCUSDT,ETHUSDT,500,167,156,4.745981804860157e-05,9341.884951990934,0.005,0.1,"[3.4436894675910085e-05, 6.070951589349102e-05]","[862.4557596442951, 19715.3809876759]",0.028,0.22702702702702704,True,False
2024-03-05,50,BTCUSDT,ETHUSDT,1000,167,156,6.120639596989213e-05,15349.543013652336,0.005,0.07,"[4.416903676887859e-05, 7.882062807526612e-05]","[552.0338330728182, 35787.89036354695]",0.028,0.17818181818181822,True,False
2024-03-05,50,BTCUSDT,ETHUSDT,2000,167,156,6.106023110039959e-05,15781.303016627495,0.005,0.12,"[3.339062801443403e-05, 8.341969055997836e-05]","[-5365.982737394839, 40688.40276968915]",0.028,0.25846153846153846,True,False
2024-03-05,50,BTCUSDT,ETHUSDT,5000,167,156,3.563553987865473e-05,13367.857509063957,0.055,0.455,"[-4.887845903914623e-06, 7.741197081827073e-05]","[-27090.841041955424, 51111.49870827825]",0.1625806451612903,0.5620588235294117,False,False
2024-03-05,50,BTCUSDT,SOLUSDT,50,167,156,5.951745800225358e-06,201.15646628439723,0.06,0.485,"[-2.9741770562009976e-06, 1.3798063167201735e-05]","[-857.5902161948194, 1073.5514672954203]",0.1625806451612903,0.5904347826086956,False,False
2024-03-05,50,BTCUSDT,SOLUSDT,100,167,156,4.856259909580641e-06,-118.89576587988594,0.22,0.82,"[-5.9913121222603875e-06, 1.5968074856735573e-05]","[-1811.1851192130384, 1271.1630730541692]",0.3696,0.8502439024390244,False,False
2024-03-05,50,BTCUSDT,SOLUSDT,250,167,156,1.1218574174287692e-05,-1297.325556724789,0.135,0.4,"[-9.475723262160212e-06, 2.823652300280534e-05]","[-4291.378075761855, 1206.4417019625835]",0.27658536585365856,0.5333333333333333,False,False
2024-03-05,50,BTCUSDT,SOLUSDT,500,167,156,1.7945568195705162e-05,-3985.213941647569,0.095,0.155,"[-1.329653431971831e-05, 4.681850408906436e-05]","[-8781.836241320161, 771.6737612833979]",0.22166666666666668,0.28304347826086956,False,False
2024-03-05,50,BTCUSDT,SOLUSDT,1000,167,156,3.1167925785613896e-05,-3152.1829500085714,0.09,0.44,"[-6.238257331069852e-06, 6.603009545722472e-05]","[-9563.851929247952, 3050.6733821502653]",0.216,0.56,False,False
2024-03-05,50,BTCUSDT,SOLUSDT,2000,167,156,2.494177096903367e-05,-4730.596240602715,0.35,0.435,"[-3.264964421743825e-05, 7.736026351327712e-05]","[-13972.926133379346, 3870.070987530529]",0.48096774193548386,0.56,False,False
2024-03-05,50,BTCUSDT,SOLUSDT,5000,167,156,2.476159433236552e-05,-32743.638339000307,0.52,0.05,"[-4.8405998069546174e-05, 0.00010183495571283109]","[-91784.73228271549, 6040.74003288479]",0.6125,0.15555555555555556,False,False
2024-03-05,50,ETHUSDT,BTCUSDT,50,131,118,1.1986239834109319e-05,11553.020338477563,0.005,0.06,"[5.464332252621653e-06, 1.883770445143074e-05]","[3892.056212273209, 20893.362258559264]",0.028,0.1625806451612903,True,False
2024-03-05,50,ETHUSDT,BTCUSDT,100,131,118,1.9686430312037702e-05,17069.077754052563,0.005,0.07,"[1.0213993856844218e-05, 2.8421927152817924e-05]","[7091.323153738046, 27222.30732223502]",0.028,0.17818181818181822,True,False
2024-03-05,50,ETHUSDT,BTCUSDT,250,131,118,3.1681068059079006e-05,17547.46766817166,0.005,0.155,"[1.9768164856215828e-05, 4.5920905965488767e-05]","[1506.0785338638993, 34326.12150496268]",0.028,0.28304347826086956,True,False
2024-03-05,50,ETHUSDT,BTCUSDT,500,131,118,3.95770782523464e-05,55772.17056242166,0.005,0.02,"[2.1780816081201925e-05, 5.745459388540839e-05]","[7307.363200388552, 135466.6429115973]",0.028,0.08399999999999999,True,False
2024-03-05,50,ETHUSDT,BTCUSDT,1000,131,118,4.484592296897844e-05,57956.885235737194,0.01,0.06,"[2.305254600576449e-05, 6.933310438529812e-05]","[-20924.235926643363, 150232.83524789938]",0.04941176470588235,0.1625806451612903,True,False
2024-03-05,50,ETHUSDT,BTCUSDT,2000,131,118,3.185900190821676e-05,56590.17131535544,0.04,0.175,"[4.537306110999781e-06, 5.9671551831941814e-05]","[-49357.03773621756, 160433.72921416358]",0.14608695652173911,0.3127659574468085,False,False
2024-03-05,50,ETHUSDT,BTCUSDT,5000,131,118,3.9673036194699945e-05,129880.8343477858,0.13,0.085,"[-5.842892351317385e-06, 8.616226656857088e-05]","[-15170.289920711379, 273424.8229024652]",0.273,0.21000000000000002,False,False
2024-03-05,50,ETHUSDT,SOLUSDT,50,131,118,1.1180634999762916e-05,717.1545402198495,0.015,0.185,"[-9.055279641222976e-08, 2.2770805397782782e-05]","[-549.2744082352535, 1933.5432555812238]",0.06631578947368422,0.32375,False,False
2024-03-05,50,ETHUSDT,SOLUSDT,100,131,118,1.6896968610720425e-05,730.4429924738524,0.015,0.34,"[4.676484762717198e-06, 2.9470601349852103e-05]","[-837.5212385779641, 2017.278217908768]",0.06631578947368422,0.47600000000000003,False,False
2024-03-05,50,ETHUSDT,SOLUSDT,250,131,118,3.355982979753055e-05,1998.3270085631357,0.005,0.24,"[1.0134033308063716e-05, 5.706221918615434e-05]","[-140.45160738049893, 4648.09920855592]",0.028,0.38769230769230767,True,False
2024-03-05,50,ETHUSDT,SOLUSDT,500,131,118,3.8388049282688166e-05,3167.4675837927734,0.005,0.195,"[1.3464437760171745e-05, 6.492547994937934e-05]","[-482.3549581491272, 7546.62717249726]",0.028,0.33428571428571424,True,False
2024-03-05,50,ETHUSDT,SOLUSDT,1000,131,118,3.405964598127714e-05,1374.115040571376,0.045,0.65,"[-8.963225287312228e-07, 7.148741192849452e-05]","[-3450.738700021934, 7058.75818104514]",0.1512,0.7090909090909091,False,False
2024-03-05,50,ETHUSDT,SOLUSDT,2000,131,118,3.681818433188763e-05,1493.064034934501,0.14,0.815,"[-3.904870167825167e-06, 7.943083903671846e-05]","[-3669.971874520308, 6539.7926646048745]",0.28,0.8502439024390244,False,False
2024-03-05,50,ETHUSDT,SOLUSDT,5000,131,118,2.332168983991506e-06,-2755.652115397411,0.965,0.83,"[-6.453605319791734e-05, 7.397960686790389e-05]","[-12326.900625714157, 6029.8345069353645]",0.9650000000000001,0.8502439024390244,False,False
2024-03-05,50,SOLUSDT,BTCUSDT,50,100,96,2.2393639648403277e-06,2971.0852197029985,0.265,0.355,"[-1.3577895193541529e-06, 5.999263042121583e-06]","[156.88099097837, 5936.4343007649]",0.3975,0.48096774193548386,False,False
2024-03-05,50,SOLUSDT,BTCUSDT,100,100,96,4.623665611065866e-06,4284.632926128124,0.155,0.44,"[-8.003745151183207e-07, 9.863973762951009e-06]","[-2675.330521150196, 10527.612923402667]",0.28304347826086956,0.56,False,False
2024-03-05,50,SOLUSDT,BTCUSDT,250,100,96,8.033847003087806e-06,6106.831314922176,0.145,0.605,"[-1.027771436144024e-06, 1.7319584456726222e-05]","[-2556.514686043851, 15974.75269437549]",0.28304347826086956,0.6686842105263158,False,False
2024-03-05,50,SOLUSDT,BTCUSDT,500,100,96,9.273970041024936e-06,-5638.998991621879,0.32,0.775,"[-5.762504216343615e-06, 2.2976911151074384e-05]","[-52314.032484911855, 31747.372814721813]",0.45559322033898303,0.8240506329113925,False,False
2024-03-05,50,SOLUSDT,BTCUSDT,1000,100,96,2.5300565343307072e-05,18603.526616963896,0.035,0.58,"[2.6278867223859685e-06, 4.866739260834099e-05]","[-49115.41774793641, 82456.47780874609]",0.13363636363636366,0.6583783783783783,False,False
2024-03-05,50,SOLUSDT,BTCUSDT,2000,100,96,1.850451240232869e-05,38468.10459591801,0.305,0.45,"[-1.4469735005005933e-05, 4.7595423788009e-05]","[-41484.2104361577, 118730.59156934143]",0.4417241379310345,0.5620588235294117,False,False
2024-03-05,50,SOLUSDT,BTCUSDT,5000,100,96,1.8619532982057898e-05,87838.81393286702,0.525,0.295,"[-2.8545717604979313e-05, 6.324570030975808e-05]","[-67807.74246924251, 234314.2600291363]",0.6125,0.4347368421052631,False,False
2024-03-05,50,SOLUSDT,ETHUSDT,50,100,96,5.1081612533402316e-06,1040.3185838765842,0.025,0.245,"[9.29414802981895e-07, 9.654579943177109e-06]","[67.74465840446472, 2272.0226100143454]",0.1,0.3883018867924528,False,False
2024-03-05,50,SOLUSDT,ETHUSDT,100,100,96,1.1505707726118262e-05,332.66135833945856,0.01,0.705,"[4.818660476910564e-06, 1.9416913985083596e-05]","[-2044.6518496289686, 2297.248863059794]",0.04941176470588235,0.7592307692307693,True,False
2024-03-05,50,SOLUSDT,ETHUSDT,250,100,96,1.8321184199692476e-05,1655.1285240244445,0.005,0.555,"[8.434219877696661e-06, 2.7438945931082277e-05]","[-1919.4008193193104, 5952.340845455433]",0.028,0.6386301369863014,True,False
2024-03-05,50,SOLUSDT,ETHUSDT,500,100,96,2.4493895949901127e-05,2630.0504046218034,0.005,0.595,"[9.520813052979352e-06, 3.9398484157003976e-05]","[-3522.1393090232446, 8955.496331299853]",0.028,0.6664,True,False
2024-03-05,50,SOLUSDT,ETHUSDT,1000,100,96,2.2100003495211097e-05,1093.6633319597956,0.05,0.88,"[4.496219910578246e-06, 4.282399454158883e-05]","[-5642.881819066287, 8536.722879900512]",0.15555555555555556,0.8906024096385542,False,False
2024-03-05,50,SOLUSDT,ETHUSDT,2000,100,96,3.356151029195568e-05,8238.863363297467,0.045,0.505,"[8.98163742643203e-06, 6.213928423615043e-05]","[-5421.578393188168, 24528.866184752955]",0.1512,0.606,False,False
2024-03-05,50,SOLUSDT,ETHUSDT,5000,100,96,8.426336553891603e-05,24735.341230562273,0.005,0.26,"[4.6985065927281834e-05, 0.00012263739742279287]","[-1429.1087322672909, 48516.96694700572]",0.028,0.3975,True,False
2024-03-05,100,BTCUSDT,ETHUSDT,50,104,97,1.8782698241921514e-05,2334.4777384334316,0.005,0.23,"[1.08569267910102e-05, 2.8146447568433014e-05]","[-1619.799340938584, 6839.3161364599855]",0.03,0.4493023255813954,True,False
2024-03-05,100,BTCUSDT,ETHUSDT,100,104,97,1.8782698241921514e-05,2334.4777384334316,0.005,0.23,"[1.1150005406865736e-05, 2.766916797486661e-05]","[-1168.269209782861, 6950.535580273992]",0.03,0.4493023255813954,True,False
2024-03-05,100,BTCUSDT,ETHUSDT,250,104,97,3.853216795649939e-05,5201.099090216538,0.005,0.205,"[2.3886098270589245e-05, 5.198668796410731e-05]","[-2254.439607176363, 12620.32584807135]",0.03,0.4493023255813954,True,False
2024-03-05,100,BTCUSDT,ETHUSDT,500,104,97,4.710098046692294e-05,6933.31398199471,0.005,0.2,"[3.12010428412088e-05, 6.327166128573388e-05]","[-2593.27644802378, 17190.797958070318]",0.03,0.4493023255813954,True,False
2024-03-05,100,BTCUSDT,ETHUSDT,1000,104,97,6.540542072014994e-05,11969.71551378184,0.005,0.18,"[4.772581884100665e-05, 8.410755564327759e-05]","[-1823.9707695279758, 25865.18370422914]",0.03,0.4493023255813954,True,False
2024-03-05,100,BTCUSDT,ETHUSDT,2000,104,97,5.958890442744723e-05,3156.2916151567965,0.005,0.785,"[2.9865836877116864e-05, 9.444098864835278e-05]","[-21389.925160847226, 28235.578052147826]",0.03,0.8507692307692307,True,False
2024-03-05,100,BTCUSDT,ETHUSDT,5000,104,97,4.2135908345287e-05,9466.369322984585,0.085,0.64,"[-5.44046665607909e-06, 8.849759444928887e-05]","[-20204.144491511855, 39977.41420189413]",0.2856,0.8023880597014925,False,False
2024-03-05,100,BTCUSDT,SOLUSDT,50,104,97,3.6177419586163787e-06,880.411917423912,0.5,0.23,"[-1.1767346307144425e-05, 1.7075618632085745e-05]","[-1082.3534511488972, 2637.0479106294783]",0.65625,0.4493023255813954,False,False
2024-03-05,100,BTCUSDT,SOLUSDT,100,104,97,3.6177419586163787e-06,880.411917423912,0.5,0.23,"[-9.28827200545985e-06, 1.6149238115240674e-05]","[-926.6711039059587, 2866.378854848568]",0.65625,0.4493023255813954,False,False
2024-03-05,100,BTCUSDT,SOLUSDT,250,104,97,1.789811698395251e-05,-153.6678559541594,0.05,0.89,"[-1.973907628703307e-05, 5.3661266570845455e-05]","[-4726.335671127718, 4704.034735007721]",0.1826086956521739,0.9117073170731708,False,False
2024-03-05,100,BTCUSDT,SOLUSDT,500,104,97,5.792815295348846e-06,-3382.256849325664,0.665,0.245,"[-3.3730048732186144e-05, 5.671421055734897e-05]","[-8176.593059521453, 2668.6369431470557]",0.8095652173913044,0.4677272727272727,False,False
2024-03-05,100,BTCUSDT,SOLUSDT,1000,104,97,2.616696139943306e-05,-345.2680214281629,0.195,0.945,"[-2.37429921001193e-05, 7.007320996914151e-05]","[-7641.314633040801, 7424.108561968853]",0.4493023255813954,0.9563855421686747,False,False
2024-03-05,100,BTCUSDT,SOLUSDT,2000,104,97,2.9276454432480106e-05,3555.6608332470396,0.31,0.605,"[-3.106031233098068e-05, 8.6431863296806e-05]","[-6302.734274020089, 11791.967026637893]",0.5314285714285714,0.77,False,False
2024-03-05,100,BTCUSDT,SOLUSDT,5000,104,97,8.0208010567371e-05,-31213.64726190442,0.105,0.125,"[-1.6703132641248417e-05, 0.00018723167683221164]","[-118195.6480599485, 24253.9942004409]",0.32666666666666666,0.375,False,False
2024-03-05,100,ETHUSDT,BTCUSDT,50,85,78,2.0326194768386367e-05,12456.19419011121,0.005,0.19,"[9.39052056397587e-06, 3.328040515973494e-05]","[-2397.5863644643055, 27177.687521326967]",0.03,0.4493023255813954,True,False
2024-03-05,100,ETHUSDT,BTCUSDT,100,85,78,2.0326194768386367e-05,12456.19419011121,0.005,0.19,"[8.568994173375582e-06, 3.402187352745924e-05]","[-1497.7363555023546, 26679.66045323915]",0.03,0.4493023255813954,True,False
2024-03-05,100,ETHUSDT,BTCUSDT,250,85,78,4.202694766467688e-05,22207.202687834797,0.005,0.195,"[2.0174798766649304e-05, 6.23347021903466e-05]","[-2333.9440287596476, 47743.041002925354]",0.03,0.4493023255813954,True,False
2024-03-05,100,ETHUSDT,BTCUSDT,500,85,78,4.1129372911429647e-05,18921.96558385315,0.005,0.35,"[2.0284186128282723e-05, 6.181596050258067e-05]","[-11686.854963654212, 43908.27791324385]",0.03,0.5653846153846154,True,False
2024-03-05,100,ETHUSDT,BTCUSDT,1000,85,78,4.2448178691678795e-05,5643.950131926004,0.005,0.87,"[1.632984231572638e-05, 7.150384591069868e-05]","[-85169.69004900209, 117306.45658012996]",0.03,0.9022222222222221,True,False
2024-03-05,100,ETHUSDT,BTCUSDT,2000,85,78,3.611737499546533e-05,-13135.26680832187,0.025,0.77,"[6.106073022790479e-06, 6.926793646563015e-05]","[-151675.56535709128, 111525.00836389525]",0.1105263157894737,0.8507692307692307,False,False
2024-03-05,100,ETHUSDT,BTCUSDT,5000,85,78,2.427722395005017e-05,26988.433523828342,0.325,0.775,"[-2.2169091235255618e-05, 6.988543390357008e-05]","[-158475.41577245737, 187192.90202612279]",0.5352941176470588,0.8507692307692307,False,False
2024-03-05,100,ETHUSDT,SOLUSDT,50,85,78,1.3009861229704524e-05,977.6229385404757,0.05,0.275,"[-7.288570038507115e-06, 3.1448624971612725e-05]","[-1557.375381166022, 4441.919747989225]",0.1826086956521739,0.5021739130434782,False,False
2024-03-05,100,ETHUSDT,SOLUSDT,100,85,78,1.3009861229704524e-05,977.6229385404757,0.05,0.275,"[-4.757270221742946e-06, 3.0504388200788628e-05]","[-1623.1122291923816, 4732.21925046904]",0.1826086956521739,0.5021739130434782,False,False
2024-03-05,100,ETHUSDT,SOLUSDT,250,85,78,1.6981026877879654e-05,2976.3532300558327,0.135,0.19,"[-7.140899849978986e-06, 4.083239053314455e-05]","[-678.1087047987506, 7289.566513903221]",0.3910344827586207,0.4493023255813954,False,False
2024-03-05,100,ETHUSDT,SOLUSDT,500,85,78,3.247823055816143e-05,3389.6989609318507,0.045,0.29,"[5.983759062351557e-06, 6.12383753771033e-05]","[-1293.0631860636854, 8913.598814490515]",0.1826086956521739,0.5075,False,False
2024-03-05,100,ETHUSDT,SOLUSDT,1000,85,78,1.5357379023808936e-05,-1022.084344941836,0.445,0.79,"[-2.735472232129029e-05, 5.6109874893728856e-05]","[-7983.531233887244, 6175.81469051675]",0.623,0.8507692307692307,False,False
2024-03-05,100,ETHUSDT,SOLUSDT,2000,85,78,4.3664753906002546e-08,-1518.2730827351515,1.0,0.78,"[-5.3286269529073015e-05, 5.44030438223873e-05]","[-8016.950984358673, 5857.855547728071]",1.0,0.8507692307692307,False,False
2024-03-05,100,ETHUSDT,SOLUSDT,5000,85,78,-1.0366125959047267e-05,-4906.09507537366,0.87,0.715,"[-8.555592862544324e-05, 6.337877100680593e-05]","[-17235.3476149676, 7492.191284233602]",0.9022222222222221,0.8459154929577464,False,False
2024-03-05,100,SOLUSDT,BTCUSDT,50,64,62,2.920529019529594e-06,1287.0345487018415,0.41,0.78,"[-4.5664857518113296e-06, 1.185776874651513e-05]","[-8831.308535739094, 9551.560468842397]",0.5937931034482758,0.8507692307692307,False,False
2024-03-05,100,SOLUSDT,BTCUSDT,100,64,62,2.920529019529594e-06,1287.0345487018415,0.41,0.78,"[-4.911472106202434e-06, 1.2029304718892818e-05]","[-9448.404720176748, 9870.49179389767]",0.5937931034482758,0.8507692307692307,False,False
2024-03-05,100,SOLUSDT,BTCUSDT,250,64,62,4.950499149141829e-06,-29060.245385507955,0.42,0.145,"[-1.081549620162584e-05, 1.7837399525869774e-05]","[-100263.34566679066, 14131.45944021362]",0.5979661016949153,0.40599999999999997,False,False
2024-03-05,100,SOLUSDT,BTCUSDT,500,64,62,6.122634254967627e-06,-21570.610115526608,0.455,0.325,"[-1.1103276621373553e-05, 2.3014011821635596e-05]","[-94664.19834477235, 24165.783402187793]",0.6265573770491804,0.5352941176470588,False,False
2024-03-05,100,SOLUSDT,BTCUSDT,1000,64,62,2.3879316754812497e-05,-7906.752551454146,0.075,0.815,"[-2.3691885410011142e-06, 5.1645112481614474e-05]","[-114696.02402360951, 69902.47360581694]",0.2625,0.8665822784810125,False,False
2024-03-05,100,SOLUSDT,BTCUSDT,2000,64,62,1.789452286684287e-05,64576.84013092512,0.41,0.23,"[-2.4291493443537063e-05, 5.7783651151117976e-05]","[-48863.856654188276, 181232.98281866394]",0.5937931034482758,0.4493023255813954,False,False
2024-03-05,100,SOLUSDT,BTCUSDT,5000,64,62,1.2328121695108522e-05,71477.9804056665,0.695,0.485,"[-5.1995163054516e-05, 7.371156992620794e-05]","[-109185.6188927201, 233777.05203057107]",0.834,0.65625,False,False
2024-03-05,100,SOLUSDT,ETHUSDT,50,64,62,1.1516331437684587e-05,-1339.11622726916,0.01,0.37,"[3.25953362380377e-06, 2.1487809478368e-05]","[-5042.069997883611, 808.4505971339389]",0.04666666666666666,0.5755555555555555,True,False
2024-03-05,100,SOLUSDT,ETHUSDT,100,64,62,1.1516331437684587e-05,-1339.11622726916,0.01,0.37,"[4.17195556454041e-06, 2.020352722416573e-05]","[-5048.8075440122675, 878.7825089792817]",0.04666666666666666,0.5755555555555555,True,False
2024-03-05,100,SOLUSDT,ETHUSDT,250,64,62,1.9618650618721927e-05,1523.1706063431377,0.005,0.66,"[8.013402195734803e-06, 3.135783920765961e-05]","[-3844.7233201078434, 7775.378359588469]",0.03,0.8095652173913044,True,False
2024-03-05,100,SOLUSDT,ETHUSDT,500,64,62,3.102082245838963e-05,4712.799217695727,0.005,0.4,"[1.2131376058068764e-05, 5.052860978302846e-05]","[-4261.515170996554, 13125.05893295728]",0.03,0.5937931034482758,True,False
2024-03-05,100,SOLUSDT,ETHUSDT,1000,64,62,3.253519165219584e-05,4570.172869949189,0.01,0.59,"[1.1104855033383169e-05, 5.904451156080451e-05]","[-3775.3043524245813, 13224.120226914289]",0.04666666666666666,0.7624615384615384,True,False
2024-03-05,100,SOLUSDT,ETHUSDT,2000,64,62,4.954753902427942e-05,16244.614439782881,0.01,0.29,"[2.2156609631692705e-05, 7.987733271877303e-05]","[-2356.986767055753, 40726.11273056092]",0.04666666666666666,0.5075,True,False
