source,target,lag_ms,n_initial,n_exclusive,response_resid_return,response_resid_flow,p_return,p_flow,return_ci95,flow_ci95,q_return,q_flow,p2_return,p2_flow
ETHUSDT,BTCUSDT,100,1929,1874,3.095266851939598e-05,73020.24050362584,0.005,0.005,"[2.4481742197856445e-05, 3.8125818560566556e-05]","[39121.92234257479, 118874.68855210321]",0.005490196078431373,0.005490196078431373,True,True
ETHUSDT,BTCUSDT,250,1929,1874,4.772698406319388e-05,149816.74868314512,0.005,0.005,"[3.7005826726773854e-05, 5.811192035757572e-05]","[98071.3035118919, 228507.09418456204]",0.005490196078431373,0.005490196078431373,True,True
ETHUSDT,BTCUSDT,500,1929,1874,5.439902646257569e-05,182047.4964162331,0.005,0.005,"[4.174861695786268e-05, 6.768066618754761e-05]","[117480.2230419734, 255482.7966402556]",0.005490196078431373,0.005490196078431373,True,True
ETHUSDT,BTCUSDT,1000,1929,1874,6.105812453412457e-05,254739.99376422248,0.005,0.005,"[3.9237045481046396e-05, 7.918035559624127e-05]","[166134.33901009825, 350805.1192612277]",0.005490196078431373,0.005490196078431373,True,True
ETHUSDT,BTCUSDT,2000,1929,1874,6.357153648198842e-05,422721.4802141709,0.005,0.005,"[3.703790132456688e-05, 8.946056053612843e-05]","[300890.72589008097, 556805.3371832302]",0.005490196078431373,0.005490196078431373,True,True
ETHUSDT,BTCUSDT,5000,1929,1874,6.435876466435366e-05,824909.8077987185,0.005,0.005,"[2.7277621693466852e-05, 0.00010224436533952124]","[632923.6097805368, 1042186.0063312759]",0.005490196078431373,0.005490196078431373,True,True
ETHUSDT,BTCUSDT,10000,1929,1874,7.913306366896107e-05,1253850.799640674,0.005,0.005,"[2.9853719531818557e-05, 0.00011851980955686384]","[960610.6551112713, 1527125.5861418298]",0.005490196078431373,0.005490196078431373,True,True
ETHUSDT,SOLUSDT,100,1929,1874,5.522168465484042e-05,2958.9001925295543,0.005,0.01,"[4.358311418463945e-05, 6.855782526699958e-05]","[1345.3087905072964, 4399.321871699975]",0.005490196078431373,0.01076923076923077,True,True
ETHUSDT,SOLUSDT,250,1929,1874,8.820219049499828e-05,5227.312115873711,0.005,0.005,"[6.88362280911672e-05, 0.00011144601307472082]","[430.43381136111634, 9763.479809946764]",0.005490196078431373,0.005490196078431373,True,True
ETHUSDT,SOLUSDT,500,1929,1874,0.00010550741178535548,7848.753382097788,0.005,0.005,"[7.730348026013983e-05, 0.00013141786019860936]","[2055.5202389472856, 14538.184293746024]",0.005490196078431373,0.005490196078431373,True,True
ETHUSDT,SOLUSDT,1000,1929,1874,0.00011246492652254568,13394.311970404577,0.005,0.005,"[7.109946673617706e-05, 0.00015763151524675976]","[6625.74570755486, 21051.666360363517]",0.005490196078431373,0.005490196078431373,True,True
ETHUSDT,SOLUSDT,2000,1929,1874,0.0001493073050093278,26567.586267790215,0.005,0.005,"[8.006997753351721e-05, 0.00022227465952499276]","[14574.140919560805, 38054.47172348578]",0.005490196078431373,0.005490196078431373,True,True
ETHUSDT,SOLUSDT,5000,1929,1874,0.000215657107708851,55619.09527898245,0.005,0.005,"[0.00010623250913559676, 0.00034010664477757233]","[33249.344321236174, 79640.80506954488]",0.005490196078431373,0.005490196078431373,True,True
ETHUSDT,SOLUSDT,10000,1929,1874,0.00021239678271319138,89071.89505404084,0.005,0.005,"[7.772830603975974e-05, 0.0003643488240211633]","[59719.41693188189, 120578.2928680985]",0.005490196078431373,0.005490196078431373,True,True
SOLUSDT,BTCUSDT,100,1658,1603,9.691315343944693e-06,56396.45541831131,0.005,0.005,"[1.6880633618698194e-06, 1.645954680440577e-05]","[28962.813886838565, 87753.91078934079]",0.005490196078431373,0.005490196078431373,True,True
SOLUSDT,BTCUSDT,250,1658,1603,1.7251443922466835e-05,90779.83056996556,0.005,0.005,"[5.520112060689571e-06, 2.7966850198116525e-05]","[53951.46473539188, 132362.87588900825]",0.005490196078431373,0.005490196078431373,True,True
SOLUSDT,BTCUSDT,500,1658,1603,1.815454964942707e-05,110834.6726356935,0.005,0.005,"[6.380967713041814e-06, 3.083095816709239e-05]","[64809.639883119366, 159441.23421669754]",0.005490196078431373,0.005490196078431373,True,True
SOLUSDT,BTCUSDT,1000,1658,1603,1.9546716260740103e-05,190791.2965275909,0.005,0.005,"[9.439978996235659e-07, 3.8200948128056955e-05]","[122654.70297743219, 261829.65546394102]",0.005490196078431373,0.005490196078431373,True,True
SOLUSDT,BTCUSDT,2000,1658,1603,1.5459207825019274e-05,340229.99032175035,0.025,0.005,"[-1.2363316138298254e-05, 3.800238209479378e-05]","[248202.6058984517, 439895.7116348321]",0.026415094339622643,0.005490196078431373,False,True
SOLUSDT,BTCUSDT,5000,1658,1603,-1.1368811658434154e-05,552958.2743673308,0.305,0.005,"[-5.295844499733183e-05, 3.3039675906322075e-05]","[355702.33757559815, 763563.6650108172]",0.3105454545454545,0.005490196078431373,False,True
SOLUSDT,BTCUSDT,10000,1658,1603,-2.206685893367225e-06,918752.2516373768,0.83,0.005,"[-5.776308845321768e-05, 5.24863410488264e-05]","[613084.054433815, 1239160.6204985809]",0.83,0.005490196078431373,False,True
SOLUSDT,ETHUSDT,100,1658,1603,2.0674128089937978e-05,4030.87436119211,0.005,0.07,"[1.1328462118475767e-05, 2.9732908440168918e-05]","[1246.0188107274344, 6908.845545188573]",0.005490196078431373,0.0725925925925926,True,False
SOLUSDT,ETHUSDT,250,1658,1603,3.631374844548432e-05,14488.613688394358,0.005,0.005,"[2.3443477880974415e-05, 4.862529945929053e-05]","[5433.570001267146, 24740.485090119444]",0.005490196078431373,0.005490196078431373,True,True
SOLUSDT,ETHUSDT,500,1658,1603,4.281301248160271e-05,18043.120359455435,0.005,0.005,"[2.5263871063888684e-05, 6.216926832165104e-05]","[6536.593480538278, 30204.273221500207]",0.005490196078431373,0.005490196078431373,True,True
SOLUSDT,ETHUSDT,1000,1658,1603,5.2811989856291795e-05,34630.79144913514,0.005,0.005,"[2.615209109401488e-05, 7.786201069444108e-05]","[19054.545877744167, 55251.682205102385]",0.005490196078431373,0.005490196078431373,True,True
SOLUSDT,ETHUSDT,2000,1658,1603,6.779596347530214e-05,75875.12850045419,0.005,0.005,"[2.8142385911158877e-05, 0.00010829012373387283]","[46659.68078414369, 109039.67931435682]",0.005490196078431373,0.005490196078431373,True,True
SOLUSDT,ETHUSDT,5000,1658,1603,7.539327509842574e-05,161507.60301221098,0.005,0.005,"[1.7029854213411146e-05, 0.0001284215070202608]","[105298.8919833235, 213248.75936419988]",0.005490196078431373,0.005490196078431373,True,True
SOLUSDT,ETHUSDT,10000,1658,1603,6.685329157810951e-05,252954.39593605621,0.005,0.005,"[2.535607110071751e-06, 0.00013871987956511503]","[171630.69868758504, 341675.3159969187]",0.005490196078431373,0.005490196078431373,True,True
