source,target,hour_utc,n_impulses,response_500ms
ETHUSDT,BTCUSDT,0,24,6.37512851039704e-05
ETHUSDT,BTCUSDT,1,35,4.729992918524965e-05
ETHUSDT,BTCUSDT,2,25,3.715678617119745e-05
ETHUSDT,BTCUSDT,3,38,3.770243529573012e-05
ETHUSDT,BTCUSDT,4,117,3.579256403206401e-05
ETHUSDT,BTCUSDT,5,97,0.00016689790779728255
ETHUSDT,BTCUSDT,6,33,4.5874269856481184e-05
ETHUSDT,BTCUSDT,7,40,1.4776650144963667e-05
ETHUSDT,BTCUSDT,8,51,3.875505713299141e-05
ETHUSDT,BTCUSDT,9,37,4.1701443676945795e-05
ETHUSDT,BTCUSDT,10,29,6.364941177106081e-05
ETHUSDT,BTCUSDT,11,37,2.9041172521421687e-05
ETHUSDT,BTCUSDT,12,41,7.556762213237245e-05
ETHUSDT,BTCUSDT,13,38,3.328265016164429e-05
ETHUSDT,BTCUSDT,14,66,5.766928702354829e-05
ETHUSDT,BTCUSDT,15,125,7.770989904530677e-05
ETHUSDT,BTCUSDT,16,214,2.4215925566720127e-05
ETHUSDT,BTCUSDT,17,116,0.00010738332885755918
ETHUSDT,BTCUSDT,18,52,5.486710296192464e-05
ETHUSDT,BTCUSDT,19,189,9.782583559787275e-06
ETHUSDT,BTCUSDT,20,128,5.873316524770346e-05
ETHUSDT,BTCUSDT,21,162,6.679775140913739e-05
ETHUSDT,BTCUSDT,22,122,4.7697984058784885e-05
ETHUSDT,BTCUSDT,23,58,5.333177722787417e-05
ETHUSDT,SOLUSDT,0,24,6.533908311903945e-05
ETHUSDT,SOLUSDT,1,35,5.068623254198968e-05
ETHUSDT,SOLUSDT,2,25,3.0319964699429544e-05
ETHUSDT,SOLUSDT,3,38,3.784702518938781e-05
ETHUSDT,SOLUSDT,4,117,7.93043347732117e-05
ETHUSDT,SOLUSDT,5,97,3.1794534613344446e-05
ETHUSDT,SOLUSDT,6,33,6.809153228242256e-05
ETHUSDT,SOLUSDT,7,40,6.631148096152928e-05
ETHUSDT,SOLUSDT,8,51,5.205809828320919e-05
ETHUSDT,SOLUSDT,9,37,4.938014165369692e-05
ETHUSDT,SOLUSDT,10,29,7.367744018389908e-05
ETHUSDT,SOLUSDT,11,37,2.9559737427284373e-05
ETHUSDT,SOLUSDT,12,41,4.342080342250523e-05
