resolution_ms,source,target,n_exclusive_impulses,p2_return_lag_count,p2_return_lags_ms,p2_return_min_lag_ms,p2_return_max_lag_ms,max_abs_resid_return,p2_flow_lag_count,p2_flow_lags_ms,min_q_return,min_q_flow
50,BTCUSDT,ETHUSDT,156,6,"50,100,250,500,1000,2000",50.0,2000.0,6.120639596989213e-05,0,,0.028,0.1781818181818182
50,BTCUSDT,SOLUSDT,156,0,,,,,0,,0.1625806451612903,0.1555555555555555
50,ETHUSDT,BTCUSDT,118,5,"50,100,250,500,1000",50.0,1000.0,4.484592296897844e-05,0,,0.028,0.0839999999999999
50,ETHUSDT,SOLUSDT,118,2,"250,500",250.0,500.0,3.8388049282688166e-05,0,,0.028,0.32375
50,SOLUSDT,BTCUSDT,96,0,,,,,0,,0.1336363636363636,0.4347368421052631
50,SOLUSDT,ETHUSDT,96,4,"100,250,500,5000",100.0,5000.0,8.426336553891603e-05,0,,0.028,0.3883018867924528
100,BTCUSDT,ETHUSDT,97,6,"50,100,250,500,1000,2000",50.0,2000.0,6.540542072014994e-05,0,,0.03,0.4493023255813954
100,BTCUSDT,SOLUSDT,97,0,,,,,0,,0.1826086956521739,0.375
100,ETHUSDT,BTCUSDT,78,5,"50,100,250,500,1000",50.0,1000.0,4.24481786916788e-05,0,,0.03,0.4493023255813954
100,ETHUSDT,SOLUSDT,78,0,,,,,0,,0.1826086956521739,0.4493023255813954
100,SOLUSDT,BTCUSDT,62,0,,,,,0,,0.2625,0.4059999999999999
100,SOLUSDT,ETHUSDT,62,7,"50,100,250,500,1000,2000,5000",50.0,5000.0,0.0001191316025097,0,,0.03,0.3266666666666666
250,ETHUSDT,BTCUSDT,40,0,,,,,0,,0.0933333333333333,0.3359999999999999
250,ETHUSDT,SOLUSDT,40,0,,,,,0,,0.4017391304347826,0.512
250,SOLUSDT,BTCUSDT,27,0,,,,,0,,0.4017391304347826,0.512
250,SOLUSDT,ETHUSDT,27,0,,,,,0,,0.4017391304347826,0.4017391304347826
