lag_ms,signed_mid_response,imbalance_displacement,n
1,2.827213277902697e-06,0.05678974668259946,484
5,6.4251377209448264e-06,0.16921717482659693,484
10,7.948920189989908e-06,0.18737376645354709,484
25,9.297199082617639e-06,0.2133534228565824,484
50,1.0757461956198628e-05,0.24163407550626992,484
100,1.1177352229071393e-05,0.2891988651891056,484
250,1.4468185376708403e-05,0.3502508892918848,483
500,1.6746253355302926e-05,0.3839760965664525,481
1000,2.003265344216714e-05,0.4559512843135843,479
2000,2.431841052091856e-05,0.5764259455511889,477
5000,3.7015283256670646e-05,0.7355322339054081,474
