lag_ms,n_events,signed_mid_response,signed_mid_response_bp,return_ci95,matched_null_return_median,p_return,q_return,imbalance_displacement,imbalance_ci95,matched_null_displacement_median,p_displacement,q_displacement,response_survives_gate
1,435,2.993639585513974e-06,0.02993639585513974,"[1.054226510495112e-06, 5.114534597268557e-06]",0.0,0.002,0.00275,0.07735072237465063,"[0.061827387149821264, 0.0956102645724889]",0.0038225847096088903,0.002,0.0031428571428571426,True
5,435,5.063230479907488e-06,0.05063230479907488,"[2.1559044919638365e-06, 8.878124792089335e-06]",0.0,0.002,0.00275,0.18317244139800185,"[0.15475429278379144, 0.2108986672080421]",0.014293626825444163,0.002,0.0031428571428571426,True
10,435,5.545778796500245e-06,0.05545778796500245,"[2.6216003612670805e-06, 9.159293615666148e-06]",0.0,0.002,0.00275,0.20812474564847303,"[0.18107984428930876, 0.23502773466034063]",0.018417084497458495,0.002,0.0031428571428571426,True
25,435,5.960291636197313e-06,0.05960291636197313,"[3.039290699481632e-06, 9.988098713863044e-06]",0.0,0.002,0.00275,0.22724216308694284,"[0.20067700997129745, 0.25533409382733985]",0.03372974128874274,0.002,0.0031428571428571426,True
50,435,5.7433799457162124e-06,0.05743379945716212,"[2.3654396613134954e-06, 9.350244272013367e-06]",0.0,0.002,0.00275,0.24523038908841177,"[0.21540944278843446, 0.2745479454160384]",0.049726164367572184,0.002,0.0031428571428571426,True
100,435,5.111212908759633e-06,0.051112129087596325,"[2.0187887381880994e-06, 9.220623607795873e-06]",2.3835130508195076e-06,0.002,0.00275,0.26199050561409065,"[0.23386807095886938, 0.29333182245604533]",0.07176861841081426,0.002,0.0031428571428571426,True
250,435,7.3221109290391625e-06,0.07322110929039162,"[3.055783990200914e-06, 1.1964033852307638e-05]",3.333262011197795e-06,0.002,0.00275,0.32767392883956625,"[0.29497953629432017, 0.3603929973865772]",0.23967728114516595,0.002,0.0031428571428571426,True
500,435,7.221929292941743e-06,0.07221929292941744,"[1.8966488935263494e-06, 1.217025985068562e-05]",1.6753221972630827e-06,0.002,0.00275,0.37940752104766423,"[0.34440306302413837, 0.41498693624296384]",0.4027711297737297,0.946,1.0,True
1000,435,7.420506135818952e-06,0.07420506135818952,"[1.0999512164895466e-06, 1.3904936850464518e-05]",-1.743020787426724e-06,0.008,0.009777777777777778,0.4679600289659995,"[0.4292851299242103, 0.5082119457919171]",0.5129649226057234,1.0,1.0,True
2000,435,1.0154343654429456e-05,0.10154343654429455,"[1.817480509769444e-06, 1.842419998630777e-05]",-3.636095634448601e-06,0.016,0.016,0.565604708840055,"[0.5180109175253453, 0.610563557619474]",0.6053264083437647,0.986,1.0,True
5000,435,1.2812807175924162e-05,0.12812807175924162,"[-9.703255514271535e-07, 2.6206823232188225e-05]",-2.86258056796793e-06,0.014,0.0154,0.7154743109982101,"[0.6676021139788605, 0.7643735197007712]",0.7522456270059791,0.956,1.0,False
