idx,timestamp_us,kind,direction,score
100,1704067210000000,imbalance_change,1,7.8878179733485645
110,1704067211000000,imbalance_change,-1,6.275603223051368
133,1704067213300000,signed_liquidity_delta,-1,50.9342244749066
146,1704067214600000,signed_liquidity_delta,-1,30.977018383602978
157,1704067215700000,imbalance_change,-1,19.81263700792538
170,1704067217000000,imbalance_change,1,34.08241756321409
182,1704067218200000,imbalance_change,-1,15.846088854576472
197,1704067219700000,signed_liquidity_delta,-1,30.90085778740531
237,1704067223700000,imbalance_change,1,25.44141227914766
248,1704067224800000,removed_liquidity,-1,6.210322318642441
275,1704067227500000,signed_liquidity_delta,-1,50.396927118169636
300,1704067230200000,signed_liquidity_delta,1,1304.5929325679297
317,1704067231900000,signed_liquidity_delta,1,57.631662109028795
345,1704067234700000,signed_liquidity_delta,1,54.135056106885244
377,1704067237900000,imbalance_change,-1,19.480874504441402
390,1704067239200000,imbalance_change,1,19.02923564211973
400,1704067240200000,removed_liquidity,1,9.90254223288816
425,1704067242700000,imbalance_change,1,32.93908705539932
447,1704067244900000,imbalance_change,-1,17.506558463672164
472,1704067247400000,imbalance_change,1,17.021413406145385
483,1704067248500000,imbalance_change,1,6.388290947041496
505,1704067250700000,signed_liquidity_delta,1,58.327018785271875
516,1704067251800000,imbalance_change,1,6.372381784405842
545,1704067254700000,imbalance_change,-1,21.066178666427767
557,1704067255900000,imbalance_change,-1,34.85151775869577
572,1704067257400000,signed_liquidity_delta,-1,8.794462269153842
594,1704067259600000,imbalance_change,-1,49.617073808408854
608,1704067261000000,imbalance_change,-1,11.009174682141722
636,1704067263800000,imbalance_change,1,23.480027907341224
647,1704067264900000,imbalance_change,1,36.23355349630951
668,1704067267000000,imbalance_change,-1,6.895135307360325
698,1704067270000000,signed_liquidity_delta,1,76.00931830110957
708,1704067271000000,imbalance_change,-1,8.624030279629363
726,1704067272800000,imbalance_change,1,10.975482409128613
739,1704067274100000,imbalance_change,1,12.722136279718715
765,1704067276700000,signed_liquidity_delta,-1,42.67810285832804
776,1704067277800000,imbalance_change,-1,11.910098530588275
792,1704067279400000,imbalance_change,1,8.466511393499706
802,1704067280400000,imbalance_change,-1,15.320864163207675
813,1704067281500000,imbalance_change,-1,16.441833037821556
826,1704067282800000,imbalance_change,-1,23.15258854436992
873,1704067287500000,imbalance_change,-1,8.412790503075643
892,1704067289400000,imbalance_change,1,20.432152491592692
914,1704067291600000,signed_liquidity_delta,-1,12.425131786522057
924,1704067292600000,signed_liquidity_delta,1,7.79759309563507
934,1704067293600000,removed_liquidity,-1,7.702064534894697
952,1704067295400000,imbalance_change,1,8.174041392300314
962,1704067296400000,imbalance_change,1,18.117345286761417
984,1704067298600000,signed_liquidity_delta,-1,15.61553046011746
1033,1704067303500000,imbalance_change,1,9.33517461033209
1085,1704067308700000,imbalance_change,1,13.181815365124857
1104,1704067310600000,signed_liquidity_delta,1,69.31031572322989
1139,1704067314100000,imbalance_change,1,10.299037402619375
1152,1704067315400000,imbalance_change,-1,7.542254126189571
1183,1704067318500000,imbalance_change,-1,23.69094252559351
1198,1704067320000000,signed_liquidity_delta,1,8.157008511937756
1210,1704067321200000,signed_liquidity_delta,-1,8.23003922062045
1238,1704067324000000,removed_liquidity,-1,7.617050539653103
1260,1704067326200000,imbalance_change,-1,14.925102924156228
1278,1704067328000000,imbalance_change,1,19.500108461988464
1292,1704067329400000,imbalance_change,-1,9.917382324879922
1328,1704067333000000,signed_liquidity_delta,1,149.97794994245703
1341,1704067334300000,imbalance_change,-1,19.491376850389994
1361,1704067336300000,signed_liquidity_delta,-1,8.380795469258297
1382,1704067338400000,signed_liquidity_delta,-1,9.44495722434898
1392,1704067339400000,imbalance_change,1,29.637381583543704
1408,1704067341000000,signed_liquidity_delta,-1,31.298875149725994
1423,1704067342500000,signed_liquidity_delta,1,15.466860803156262
1440,1704067344200000,signed_liquidity_delta,1,6.8315011493468605
1452,1704067345400000,imbalance_change,1,14.79589498551554
1470,1704067347200000,signed_liquidity_delta,-1,10.449129468736023
1546,1704067354800000,imbalance_change,-1,10.287483621172976
1580,1704067358200000,imbalance_change,1,11.538250898657209
1592,1704067359400000,imbalance_change,-1,46.80217305243274
1602,1704067360400000,imbalance_change,-1,9.774892769962491
1626,1704067362800000,imbalance_change,-1,19.531535442339955
1653,1704067365500000,imbalance_change,-1,27.83453572854724
1663,1704067366500000,imbalance_change,1,9.153427585089396
1693,1704067369500000,imbalance_change,-1,31.077123622835035
1707,1704067370900000,signed_liquidity_delta,-1,6.420442589047125
1720,1704067372200000,signed_liquidity_delta,1,9.133011768690045
1736,1704067373800000,imbalance_change,-1,9.803599054554171
1763,1704067376500000,imbalance_change,1,7.036984711279884
1778,1704067378000000,signed_liquidity_delta,1,15.720381691869042
1803,1704067380500000,imbalance_change,1,27.142628642159785
1823,1704067382500000,signed_liquidity_delta,1,9.389662544917798
1850,1704067385200000,imbalance_change,1,14.48738652721487
1862,1704067386400000,signed_liquidity_delta,1,16.10744444788732
1897,1704067389900000,imbalance_change,1,8.122699313220425
1919,1704067392100000,imbalance_change,-1,26.12912078130337
1952,1704067395400000,signed_liquidity_delta,1,26.842958624243337
1965,1704067396700000,signed_liquidity_delta,-1,6.990603764691301
1991,1704067399300000,imbalance_change,-1,19.120492652520554
2015,1704067401700000,imbalance_change,1,18.365665393324903
2049,1704067405100000,imbalance_change,1,9.431236838321654
2062,1704067406400000,imbalance_change,1,6.526261786063441
2081,1704067408300000,imbalance_change,1,7.344806911771107
2109,1704067411100000,imbalance_change,-1,39.84286996645972
2120,1704067412200000,signed_liquidity_delta,-1,42.76313146915146
2131,1704067413300000,imbalance_change,-1,19.235272952114496
2146,1704067414800000,signed_liquidity_delta,-1,59.18356466853604
2170,1704067417200000,signed_liquidity_delta,1,49.33328701099811
2181,1704067418300000,signed_liquidity_delta,-1,27.60665117789665
2203,1704067420500000,imbalance_change,1,22.469518808398544
2215,1704067421700000,signed_liquidity_delta,-1,45.02604014247665
2226,1704067422800000,imbalance_change,1,11.586829237255765
2248,1704067425000000,imbalance_change,1,37.088711092970286
2258,1704067426000000,imbalance_change,-1,9.975759745276319
2280,1704067428200000,imbalance_change,1,10.531061962044877
2304,1704067430600000,imbalance_change,-1,10.300720140180998
2323,1704067432500000,imbalance_change,1,15.961566302770997
2339,1704067434100000,imbalance_change,1,23.442859517622214
2358,1704067436000000,signed_liquidity_delta,1,19.898781524357464
2381,1704067438300000,imbalance_change,-1,50.42736469659944
2399,1704067440100000,signed_liquidity_delta,-1,56.52159533705185
2425,1704067442700000,signed_liquidity_delta,-1,104.68117452993523
2439,1704067444100000,imbalance_change,1,22.39619064413477
2457,1704067445900000,imbalance_change,1,20.284565474481735
2474,1704067447600000,imbalance_change,-1,14.825283629352683
2485,1704067448700000,signed_liquidity_delta,1,7.11475596945188
2504,1704067450600000,removed_liquidity,1,12.653897771584392
2525,1704067452700000,imbalance_change,-1,22.64880303950968
2535,1704067453700000,signed_liquidity_delta,1,19.792365348848396
2549,1704067455100000,imbalance_change,-1,17.012789536942336
2572,1704067457400000,imbalance_change,-1,21.859299949577114
2600,1704067460200000,imbalance_change,-1,21.94917369507153
2621,1704067462300000,imbalance_change,1,26.254520273184955
2643,1704067464500000,signed_liquidity_delta,-1,19.20759803146768
2655,1704067465700000,imbalance_change,-1,26.86839901025748
2669,1704067467100000,removed_liquidity,-1,7.005677853469857
2707,1704067470900000,imbalance_change,1,41.90262765522455
2729,1704067473100000,signed_liquidity_delta,-1,11.893050908976715
2747,1704067474900000,signed_liquidity_delta,-1,12.956691016148238
2771,1704067477300000,signed_liquidity_delta,1,18.14917440348778
2793,1704067479500000,signed_liquidity_delta,-1,29.33069755072739
2812,1704067481400000,imbalance_change,-1,11.928629530997405
2822,1704067482400000,imbalance_change,1,7.897920829866305
2858,1704067486000000,removed_liquidity,1,9.79118888899489
2878,1704067488000000,signed_liquidity_delta,1,54.685916309520415
2910,1704067491200000,signed_liquidity_delta,-1,10.067804839828527
2923,1704067492500000,imbalance_change,1,24.989450401876756
2946,1704067494800000,imbalance_change,1,28.893410602228574
